id,content,ngram,final_features,tfidf_sum
523187577814126592,AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO MIL VEZES AÉCIO! 👊,"['aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio aécio', 'aécio aécio mil', 'aécio mil vezes', 'mil vezes aécio']","(262144,[8229,67967,94768,257453],[156.55842302416156,0.0,9.524368741193442,9.6785194210207])",175.7613111863757
523187577814126592,AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO MIL VEZES AÉCIO! 👊,"['aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio aécio', 'aécio mil', 'mil vezes', 'vezes aécio']","(262144,[116793,219128,233732,252159],[9.273054312912537,8.831221560633498,144.38247970747645,8.525839911082315])",171.01259549210482
523187577814126592,AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO MIL VEZES AÉCIO! 👊,"['aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio aécio', 'aécio aécio aécio mil', 'aécio aécio mil vezes', 'aécio mil vezes aécio']","(262144,[25043,121862,175638,189221],[0.0,0.0,0.0,159.64423492567164])",159.64423492567164
523187577814126592,AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO AÉCIO MIL VEZES AÉCIO! 👊,"['aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio aécio', 'aécio aécio aécio aécio mil', 'aécio aécio aécio mil vezes', 'aécio aécio mil vezes aécio']","(262144,[37821,67726,221210,254373],[0.0,0.0,154.8563107363312,0.0])",154.8563107363312
523544227037593600,"Dilma, Aécio, Dilma, Aécio, Dilma, Aécio, Dilma, Aécio, Dilma, Aécio, Dilma, Aécio, Dilma, Aécio, Dilma, Aécio... não aguento mais 😭😭","['dilma aécio dilma', 'aécio dilma aécio', 'dilma aécio dilma', 'aécio dilma aécio', 'dilma aécio dilma', 'aécio dilma aécio', 'dilma aécio dilma', 'aécio dilma aécio', 'dilma aécio dilma', 'aécio dilma aécio', 'dilma aécio dilma', 'aécio dilma aécio', 'dilma aécio dilma', 'aécio dilma aécio', 'dilma aécio aguento']","(262144,[95102,206736,260609],[9.072383617450384,64.17385658078297,61.335600824025825])",134.58184102225917
523544227037593600,"Dilma, Aécio, Dilma, Aécio, Dilma, Aécio, Dilma, Aécio, Dilma, Aécio, Dilma, Aécio, Dilma, Aécio, Dilma, Aécio... não aguento mais 😭😭","['dilma aécio dilma aécio', 'aécio dilma aécio dilma', 'dilma aécio dilma aécio', 'aécio dilma aécio dilma', 'dilma aécio dilma aécio', 'aécio dilma aécio dilma', 'dilma aécio dilma aécio', 'aécio dilma aécio dilma', 'dilma aécio dilma aécio', 'aécio dilma aécio dilma', 'dilma aécio dilma aécio', 'aécio dilma aécio dilma', 'dilma aécio dilma aécio', 'aécio dilma aécio aguento']","(262144,[56557,222689,225198],[65.73586143998244,55.00616278352826,9.6785194210207])",130.4205436445314
522767021432655872,“@Estadao: Lula ataca Aécio: Como alguém que se recusa a fazer o teste do bafômetro pode governar com decência? ” ÓTIMO ARGUMENTO KKKKK,"['estadao lula', 'lula ataca', 'ataca aécio', 'aécio alguém', 'alguém recusa', 'recusa fazer', 'fazer teste', 'teste bafômetro', 'bafômetro pode', 'pode governar', 'governar decência', 'decência ótimo', 'ótimo argumento', 'argumento kkkkk']","(262144,[846,8064,35424,48926,68038,82617,116337,124447,146464,167103,182322,194489,196561,223623],[8.251403065380556,0.0,8.174442024244426,9.16769379725471,9.524368741193442,9.524368741193442,9.39083734856892,8.985372240460755,9.6785194210207,8.762228689146546,9.273054312912537,8.212182352227273,9.16769379725471,9.273054312912537])",117.38521884377056
522770253269704704,"Eleitores 'deveriam abandonar' Dilma e eleger Aécio, afirma revista 'The Economist' - Economia - Geral - Estadão Mobi http://t.co/mCwn1MMH5A","['eleitores deveriam', 'deveriam abandonar', 'abandonar dilma', 'dilma eleger', 'eleger aécio', 'aécio afirma', 'afirma revista', 'revista the', 'the economist', 'economist economia', 'economia geral', 'geral estadão', 'estadão mobi', 'mobi httptcomcwn1mmh5a']","(262144,[9438,16491,59804,60223,105454,124460,126068,136001,146169,162353,184044,193251,221265,260572],[8.905329532787219,8.29222505990081,8.762228689146546,9.6785194210207,8.379236436890439,9.6785194210207,0.0,9.6785194210207,8.831221560633498,7.973771328782275,8.985372240460755,8.905329532787219,9.16769379725471,9.524368741193442])",116.76233518289904
523544227037593600,"Dilma, Aécio, Dilma, Aécio, Dilma, Aécio, Dilma, Aécio, Dilma, Aécio, Dilma, Aécio, Dilma, Aécio, Dilma, Aécio... não aguento mais 😭😭","['dilma aécio dilma aécio dilma', 'aécio dilma aécio dilma aécio', 'dilma aécio dilma aécio dilma', 'aécio dilma aécio dilma aécio', 'dilma aécio dilma aécio dilma', 'aécio dilma aécio dilma aécio', 'dilma aécio dilma aécio dilma', 'aécio dilma aécio dilma aécio', 'dilma aécio dilma aécio dilma', 'aécio dilma aécio dilma aécio', 'dilma aécio dilma aécio dilma', 'aécio dilma aécio dilma aécio', 'dilma aécio dilma aécio aguento']","(262144,[11966,165810,216869],[58.0711165261242,0.0,58.0711165261242])",116.1422330522484
522814502619062273,"Eleitores 'deveriam abandonar Dilma' e eleger Aécio, afirma revista The Economist - Economia - Geral - Estadão Mobile http://t.co/Twlr1357fm","['eleitores deveriam', 'deveriam abandonar', 'abandonar dilma', 'dilma eleger', 'eleger aécio', 'aécio afirma', 'afirma revista', 'revista the', 'the economist', 'economist economia', 'economia geral', 'geral estadão', 'estadão mobile', 'mobile httptcotwlr1357fm']","(262144,[9438,9545,16491,28950,59804,60223,105454,124460,146169,162353,184044,193251,221265,260572],[8.905329532787219,0.0,8.29222505990081,8.905329532787219,8.762228689146546,9.6785194210207,8.379236436890439,9.6785194210207,8.831221560633498,7.973771328782275,8.985372240460755,8.905329532787219,9.16769379725471,9.524368741193442])",115.98914529466553
