sentences,count
aécio neves http,127
vai votar aécio,98
aécio aprovado dilma,76
debate sbt aécio,66
vou votar aécio,61
sbt aécio neves,57
dilma nocauteada vivo,54
vivo debate sbt,54
nocauteada vivo debate,54
http ahfldjyop6 aconversa,53
neves http ahfldjyop6,53
ahfldjyop6 aconversa debatenosbt,52
trndnl http mpfcx6ljvs,41
aécio vai ganhar,40
debate dilma aécio,40
vai votar aecio,39
apoio aécio neves,38
site tce http,37
brt trndnl http,35
2014 brt trndnl,35
taca pau aécio,34
vão votar aécio,33
aécio dilma http,33
dilma aécio prefiro,33
aécio acabando dilma,33
debatenosbt aécio neves,32
aécio aécio aécio,30
cara desse aécio,28
pra votar aécio,28
somem site tce,28
aécio sambando cara,28
agora aécio vamos,28
usados dilma criticar,28
falando mal aécio,27
aécio somem site,27
dilma criticar aécio,27
criticar aécio somem,26
sambando cara dilma,26
dilma falando bem,25
candidato aécio neves,25
apoio aécio http,25
relatórios usados dilma,25
blá blá blá,24
conhece aécio vota,24
aécio pontos frente,24
pontos frente dilma,24
fiscalizava verbas rádios,24
chefiou órgão fiscalizava,24
órgão fiscalizava verbas,24
dilma passou mal,24
lei maria penha,23
aécio vai fazer,23
debatenarecord aécio neves,23
dilma aécio http,23
aécio sabe falar,23
cala boca aécio,22
aécio conhece vota,22
aécio chefiou órgão,22
segundo turno http,22
verbas rádios tucano,22
dilma aécio dilma,22
irmã aécio chefiou,22
dilma fala aécio,21
anúncios dilma atacam,21
aécio falando drogas,21
votar aécio dilma,21
dilma atacam aécio,21
vou votar dilma,20
aécio ganhar vai,20
votos válidos aécio,20
lembrar aécio dilma,20
pra lembrar aécio,20
brasil inteiro querendo,19
votar aécio http,19
aécio presidente http,19
fazer teste bafômetro,19
minas gerais conhece,19
atacam aécio http,19
dilma cpm ben,19
pros índios pedir,18
aécio fala minas,18
aécio dilma aécio,18
índios pedir desculpas,18
aécio marina silva,18
aécio neves presidente,18
dilma elogiando aécio,18
aécio dilma votos,18
anuncia apoio aécio,18
minas gerais aécio,18
aécio acabou dilma,18
válidos aécio dilma,17
aécio neves segundo,17
dilma votos válidos,17
debate aécio dilma,17
neves segundo turno,17
aécio neves dilma,17
fidelix anuncia apoio,17
aécio vamos brasil,17
deu desespero viu,17
falando bem aécio,17
