sentences,count
dilma ataca aécio,10
aliados evitam usar,6
arruma dentes imagina,5
mim dilma aécio,3
dilma votar contra,3
aécio sambou cara,3
ganhar vou ficar,2
mulher aécio dilmão,2
diz votar dilma,2
deixa defender corrupto,2
incompetente foradilma forapt,2
pois video filtro,2
aécio dilma dizer,2
dilma ninguém nada,1
eleitor dilma largava,1
vejam dilma aécio,1
candidato trabalha curiosos,1
bem gosto vejo,1
ouvir falar aécio,1
vetado fator previdê,1
fala irmãs aécio,1
ficarem atacando podiam,1
y7nr961kdx acervo atualizado,1
ingênuos achando dilma,1
aecio ate morte,1
eleitores dilma acham,1
manteve neutralidade partidos,1
honestos rouba psdb,1
debate fiquei dúvida,1
dilma vaca http,1
vez twitter vida,1
gigante acordou tanto,1
abandone desespere porque,1
ganhou aqui sul,1
fala aécio vai,1
pior porcarias governo,1
jessicasantt_ fcklari_ denisfalcao_,1
ver posts política,1
ponto eletrônico disfarçado,1
cagar falar dilma,1
debate conclui dilma,1
bem despreparada aéciopelamudanca,1
aecio dilma agr,1
vezes professores entraram,1
eleitoral min pra,1
10min sobre educação,1
mineira nunca votei,1
samba dilma vai,1
achava chico inteligente,1
zuar demais kkkkk,1
bom digo onde,1
qqdade voto dilma,1
cpm tributada otária,1
malafaia quer dilma,1
postar foto and,1
apyus marina empatada,1
mercado central fortaleza,1
aécio ganhe mão,1
ficou tão nervosa,1
escuta pra receber,1
dessa mulher esqueceu,1
outro deveria perder,1
aécio nada ver,1
http fvvkqnulet eleicoes2014,1
atingir adversarios ainda,1
sofrem falta recursos,1
deram incentivos recursos,1
propagandas aécio conhece,1
epocanegocios maioria aliados,1
dilma usam imagem,1
dentes pretende arrumar,1
falar educação piada,1
aécio compartilha quer,1
http tvqjjo0brf sabem,1
chorei tanto rir,1
sabe dilma usará,1
tentando negociar dilma,1
querem reeleger dilma,1
ninguém nada merda,1
afinal ficamos ricos,1
caiu aécio mentiu,1
sagitário faz oratória,1
ver dia dilma,1
musiquinha segundos fim,1
professores mentira professor,1
ajudou empresas contratar,1
dilma pior estaríamos,1
porém dilma venceu,1
debate sbt faixa,1
doido pra acabe,1
voto favor brasil,1
blogdopepe sei dilma,1
aécio construiu porque,1
troca dilma terrorista,1
blogolhonamira ponto eletrônico,1
dilma http avspphuofv,1
inquestionável dilma totalmente,1
parece sintomas alzheimer,1
medida prudência frente,1
aguento ouvir nome,1
